y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_year
JSWSTEEL,HCLTECH,-10.615715433163118,2.6589138522358997,0.0007737077094357703,16.81311438336189,0.8831562836085265,28,-1.3458957640323591e-14,0.16356972680216605,False,Metals & Mining,IT,2019
SHREECEM,POWERGRID,5.626790715847607,0.8589862047184766,0.0007812644956313863,17.083157362017918,0.8362063908463065,25,-9.068348658705459e-14,0.07299862188370514,False,Cement,Utilities,2019
LT,TITAN,4.180523692185355,0.4343003639543419,0.0008355064700137234,19.274704586081867,0.937358110429283,22,-4.066470851994766e-14,0.06455047982096655,False,Infrastructure,Consumer,2019
LT,HDFCBANK,2.12766903033849,0.7232723331315278,0.0008541083979286254,15.928792130215859,0.9625982752592807,16,3.0599861269192407e-14,0.05020230047171678,False,Infrastructure,Bank,2019
SHREECEM,SBIN,5.834567005308876,0.6914767342145349,0.0009165809194108647,16.020614778266967,0.8403834358251551,15,-3.78509686850511e-14,0.07214372702233768,False,Cement,Bank,2019
HDFC,BAJFINANCE,4.2221852989837485,0.4234825645999232,0.001074873602682046,14.576660292373735,0.9729078136582544,33,-3.591365887805969e-14,0.044654017298313496,True,NBFC,NBFC,2019
HDFC,BAJAJFINSV,3.577259649821275,0.4476561242133691,0.0012103313459207493,18.040650773009652,0.9623327720218414,13,1.84297022087776e-14,0.05251136063899401,True,NBFC,NBFC,2019
SHREECEM,IOC,7.583783120281421,0.44371629329641327,0.0013109510665642147,18.901522578683952,0.8393714942080935,15,-2.0681868915874344e-14,0.07235215536989312,False,Cement,Energy,2019
SBIN,POWERGRID,0.438045523330014,1.085413879275488,0.001531006179209593,17.121485948628745,0.8694062387882036,21,5.956787091806276e-14,0.07993158192823757,False,Bank,Utilities,2019
HCLTECH,BRITANNIA,3.438982836554015,0.3378443109220559,0.0015699530748691107,16.0814837173136,0.8893915657905156,16,5.3204941921904193e-14,0.05294750140549791,False,IT,Consumer,2019
HINDALCO,ADANIPORTS,-2.5205580422601006,1.3415044007170267,0.0016773864719361964,19.78356105993443,0.9206123933465757,25,-1.916867605268154e-14,0.13113019554278418,False,Metals & Mining,Infrastructure,2019
TATASTEEL,ADANIPORTS,-0.7232563685893982,1.1805484124388554,0.001838479642253858,18.387440372017473,0.9363068257917131,17,-1.1630907877025449e-14,0.10204467641944172,False,Metals & Mining,Infrastructure,2019
RELIANCE,HCLTECH,-5.933551839074877,2.1026548161061496,2.8753864158692752e-05,11.512483787561585,0.9184257195063783,28,-1.5554870736547167e-15,0.10346260509412225,False,Energy,IT,2020
TCS,INFY,0.23069983926973583,1.1274518727837146,0.00016796257414413023,13.682252508963776,0.9719546894581781,12,8.705088384404826e-14,0.05775549615470633,True,IT,IT,2020
HDFCBANK,HCLTECH,-0.7437762044979499,1.2481554076298171,0.0004352397230899124,16.553332164934975,0.8811411741552038,19,-4.907420736679091e-14,0.07651735053270861,False,Bank,IT,2020
HDFC,HCLTECH,0.9482951269538042,1.0699026670033036,0.0004994407901813851,15.225485319819157,0.8709353732903314,23,9.165507858849903e-14,0.06896070493586817,False,NBFC,IT,2020
HDFC,BAJAJFINSV,2.8470300109423965,0.5329813857774631,0.0005313353784369314,14.713708620740814,0.9473819209467557,15,-7.812445575822609e-14,0.044922275386192805,True,NBFC,NBFC,2020
RELIANCE,TECHM,1.0235797792496468,0.9342890066489197,0.0006925157746166691,24.299743456088382,0.8976079964152112,14,4.236000145596259e-14,0.11528440457042993,False,Energy,IT,2020
HCLTECH,BAJFINANCE,4.072561637136555,0.2637690956090279,0.0007525556378761888,13.966966792520564,0.9033223245183669,19,2.993255261523782e-14,0.049003783767625625,False,IT,NBFC,2020
HCLTECH,BAJAJFINSV,2.5766231324183195,0.40616312195059073,0.0008029102760842951,14.136944954297116,0.8868943329565454,19,3.1226050551864586e-14,0.05277476607384576,False,IT,NBFC,2020
HDFC,HDFCBANK,1.7581673752452227,0.8321826802593845,0.0008846861801454581,15.028252195398125,0.9595851086819943,21,-2.850747269050733e-14,0.03949312113299552,False,NBFC,Bank,2020
CIPLA,COALINDIA,2.4066556555925676,0.7517636083021857,0.0008985526282477592,13.51778613022583,0.8419463664844052,18,-7.409005801583161e-14,0.05749530961898163,False,Pharma,Metals & Mining,2020
RELIANCE,INFY,-0.14018205479776194,1.1148524850180443,0.0011271520405657445,23.248110552704226,0.902497173915987,20,-8.037897214368184e-14,0.11264317971947016,False,Energy,IT,2020
RELIANCE,TCS,-0.38302008411672894,0.9908190766542657,0.0012705431043692687,21.42396377345868,0.9304109156055272,16,-1.630559297224608e-14,0.0958583022296801,False,Energy,IT,2020
HCLTECH,DIVISLAB,4.1327323607524455,0.2808463123603697,0.001350084888031144,14.333626687617516,0.9038230109449932,24,9.229536594132518e-15,0.04888315390160506,False,IT,Pharma,2020
HCLTECH,KOTAKBANK,2.5370859019579974,0.5039703365828273,0.0013579376685919965,15.271284674242704,0.8823027410719382,18,-4.814960893252636e-14,0.053769779541251325,False,IT,Bank,2020
HDFCBANK,RELIANCE,2.7853370656464778,0.5926131763665075,0.0021388584982705724,17.919536041722676,0.9577939324072288,17,1.3592889306786308e-14,0.04651622317527196,False,Bank,Energy,2020
HCLTECH,AXISBANK,2.2314721487459064,0.6069347186639404,0.002192884148074952,15.031342952565968,0.856969132004556,21,9.836928449932737e-15,0.05887454633281847,False,IT,Bank,2020
WIPRO,AXISBANK,1.0794865301392433,0.6781796501971608,0.0023278897707683147,16.8919626627253,0.8665707341618003,15,-8.224931611744189e-14,0.0629973168007635,False,IT,Bank,2020
HCLTECH,INFY,3.026728376400615,0.48739945747905944,0.002514980465213225,17.47601439145617,0.9033112747086701,22,1.3970012683405013e-14,0.049006441885162705,True,IT,IT,2020
RELIANCE,DIVISLAB,2.1873447427208297,0.671021623741394,0.002577848868024932,22.228574148037485,0.9432509229151612,22,-4.8802819516326985e-15,0.08685166171039842,False,Energy,Pharma,2020
HDFC,KOTAKBANK,2.757099481887335,0.6666834315705628,0.00275260330899972,15.262096546168173,0.9501101891320386,27,-8.395400776689279e-15,0.04377278599448019,False,NBFC,Bank,2020
