pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
KOTAKBANK/BAJFINANCE,2015-08-03,2015-10-30,60,1,-2.2273707917379957,-1.4950364244057144,0.023674046494653288,time
KOTAKBANK/BAJFINANCE,2015-11-04,2016-02-03,60,1,-2.0844367685699328,-3.937864736026505,-0.07403884295738859,stop
INDUSINDBK/SHREECEM,2015-03-02,2015-05-13,47,-1,2.2324455074541554,0.4790051791987924,0.0692418721088321,target
INDUSINDBK/SHREECEM,2015-07-13,2015-10-08,60,-1,2.1437378606338267,1.4897975322649544,0.023315337240392718,time
INDUSINDBK/SHREECEM,2015-10-14,2016-01-13,60,-1,2.0163586381161474,2.959724314458958,-0.043404744549995176,time
INDUSINDBK/SHREECEM,2016-01-13,2016-02-05,16,-1,2.959724314458958,2.7256372390431847,-0.013267311523503713,eow
UPL/ADANIPORTS,2015-04-28,2015-06-03,25,-1,2.1525932117202164,3.5392929088466683,-0.07487516040992725,stop
UPL/ADANIPORTS,2015-06-04,2015-08-27,60,-1,3.3697867858340986,1.3036919050239615,0.10159950824464284,time
UPL/ADANIPORTS,2015-09-02,2015-12-04,60,-1,2.1980991361495796,3.0426042737073415,-0.04716322936786267,time
UPL/ADANIPORTS,2015-12-04,2016-01-06,22,-1,3.0426042737073415,3.698280751335199,-0.04395659744327444,stop
UPL/ADANIPORTS,2016-01-07,2016-01-08,1,-1,3.4678145187674305,3.795000149431266,-0.02072267911010294,stop
UPL/ADANIPORTS,2016-01-19,2016-01-20,1,-1,3.469003445910688,3.6909020419296246,-0.015341387482934756,stop
ULTRACEMCO/M&M,2015-01-30,2015-02-03,2,-1,2.9400043310238986,3.5219852986728135,-0.024615362301779804,stop
ULTRACEMCO/M&M,2015-02-04,2015-02-05,1,-1,3.3383605560141034,3.5427796929143858,-0.011241086569619219,stop
ULTRACEMCO/M&M,2015-02-16,2015-03-02,9,-1,3.2590048093212602,3.8220013197395293,-0.0239428807505476,stop
ULTRACEMCO/M&M,2015-03-09,2015-06-05,60,-1,3.2407370273968144,1.9668145328205664,0.04112582924519229,time
ULTRACEMCO/M&M,2015-06-30,2015-09-03,47,-1,2.0592253731705257,3.631109046391453,-0.05968043152787593,stop
ULTRACEMCO/M&M,2015-09-07,2015-11-24,50,-1,3.2531335232279397,0.49973968221926385,0.09353276266265488,target
ULTRACEMCO/M&M,2016-01-21,2016-02-05,10,-1,2.0809103942312572,1.9138613698738747,0.0019173346736723745,eow
SHREECEM/BAJFINANCE,2015-04-08,2015-04-17,6,1,-2.6160809093041753,-3.711255121103357,-0.04608846688100685,stop
SHREECEM/BAJFINANCE,2015-04-21,2015-06-15,38,1,-3.3315700963192487,-3.607123332592005,-0.014589742831660943,stop
SHREECEM/BAJFINANCE,2015-07-17,2015-07-20,1,1,-3.3262028889791955,-3.637604014401425,-0.01596740738855606,stop
SHREECEM/BAJFINANCE,2015-09-11,2015-09-15,2,1,-3.223048120390606,-3.908257108504229,-0.030333158224580985,stop
SHREECEM/BAJFINANCE,2015-09-18,2015-09-29,6,1,-2.393232468387734,-3.778304877396097,-0.057229498637094506,stop
SHREECEM/BAJFINANCE,2015-09-30,2015-11-09,26,1,-3.1506108650863185,-3.580651957450099,-0.02052684118966792,stop
ICICIBANK/SHREECEM,2015-03-20,2015-06-05,51,1,-2.036701897636103,-3.7142909352794593,-0.07264397476591677,stop
ICICIBANK/SHREECEM,2015-06-09,2015-08-24,54,1,-3.2632149332731086,-4.133318175571077,-0.03960308494382386,stop
ICICIBANK/SHREECEM,2015-08-25,2015-08-28,3,1,-3.1539572629818324,-3.5408307766332165,-0.019830179568884908,stop
HDFCBANK/SHREECEM,2016-02-24,2016-02-29,3,1,-2.0335457965219494,-0.4911412181598895,0.027664527627536593,target
HDFCBANK/SHREECEM,2016-03-18,2016-04-26,22,1,-2.0721468185279357,0.12349031582463625,0.041074952237617694,target
HDFCBANK/SHREECEM,2016-11-15,2016-11-21,4,-1,2.0494774853211277,0.43445218028231813,0.029155382257020256,target
TITAN/POWERGRID,2016-02-17,2016-03-22,23,1,-2.110222163250748,-0.29020078903892843,0.04661895707795645,target
TITAN/POWERGRID,2016-06-03,2016-08-18,52,1,-2.096593886545532,-3.9720293910237054,-0.05616015078106855,stop
TITAN/POWERGRID,2016-08-31,2016-09-01,1,1,-3.338501674339383,-3.5990668347967767,-0.011246913063817802,stop
TITAN/POWERGRID,2016-09-02,2016-09-20,10,1,-3.3550307434074536,-3.516391991256179,-0.008487825359983523,stop
TITAN/POWERGRID,2016-09-21,2016-09-30,7,1,-3.0603506609734237,-3.6630033968324747,-0.020761150941193105,stop
TITAN/POWERGRID,2016-10-10,2016-10-13,1,1,-3.476403734865973,-3.7785320057131346,-0.012402878224807713,stop
