y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_start
BAJAJ-AUTO,TATASTEEL,6.130575137019385,0.27827798669018317,2.3192751876638265e-05,15.355332653017342,0.8897012699181956,17,-7.853682431022973e-14,0.05677634802871344,False,Auto,Metals & Mining,2018-05-25
BAJAJ-AUTO,NTPC,4.044791661399483,0.8143785515959059,2.776259796176843e-05,12.641087514870597,0.900018594322234,20,4.607014358481576e-14,0.054203104992792385,False,Auto,Utilities,2018-05-25
BAJAJ-AUTO,HINDALCO,6.525057306317039,0.24852165632795603,3.422063449896391e-05,16.08904701739036,0.8790728778201282,16,4.272772611914531e-14,0.05928151468691984,False,Auto,Metals & Mining,2018-05-25
M&M,TCS,1.3994232019187742,0.7179083398837931,0.00022622501597360607,14.568255336279998,0.7934248457293573,18,4.166802117923855e-14,0.056041579545257084,False,Auto,IT,2018-05-25
HCLTECH,ADANIPORTS,4.2618854365433965,0.2967836573479933,0.00023707358378710535,12.768395638097996,0.8065672804329559,21,-2.811625124373465e-14,0.050062297029169124,False,IT,Infrastructure,2018-05-25
ICICIBANK,ADANIPORTS,2.06294966039861,0.6056478379521957,0.0002473294374248894,13.087314451343989,0.9217879124612723,24,2.9042024517178696e-14,0.0586270688232893,False,Bank,Infrastructure,2018-05-25
BAJAJ-AUTO,ULTRACEMCO,1.8855137995130828,0.7202010745892571,0.0002673905275222722,13.135073154819912,0.9283529914909678,25,-1.5442203659233354e-13,0.046225106424360785,False,Auto,Cement,2018-05-25
HEROMOTOCO,TATASTEEL,5.554001458812868,0.3983997255560636,0.00027026746179812993,20.10417770290491,0.9203619083819232,18,6.067809394268792e-14,0.06730748094232976,False,Auto,Metals & Mining,2018-05-25
BPCL,NTPC,-2.4016629538426106,1.7480655505664826,0.00031390629721498724,13.881867619946398,0.9310059873743814,27,5.5889449447056027e-14,0.09419189363736707,False,Energy,Utilities,2018-05-25
SHREECEM,ULTRACEMCO,-0.35860526939458526,1.218153696109379,5.480391237904522e-06,8.393717929707151,0.9631546684769894,31,-2.4352066512624597e-14,0.05170041228884431,True,Cement,Cement,2018-08-24
ICICIBANK,MARUTI,1.789885748904322,0.43137399638956414,0.0001443949413251115,15.715042787563664,0.8994688716869933,24,-3.105922338837594e-14,0.06843403205952038,False,Bank,Auto,2018-08-24
NTPC,HINDALCO,3.180061766648053,0.27881973446297026,0.00025903960814739125,12.302353061677588,0.9504508787528337,21,5.345518266713716e-15,0.04074927050130893,False,Utilities,Metals & Mining,2018-08-24
M&M,TCS,1.3314374803871292,0.728409965425164,0.0002973845878081885,13.599925699046858,0.9082350772597306,23,6.05453371154047e-14,0.05266202936539952,False,Auto,IT,2018-08-24
BAJAJ-AUTO,NTPC,4.204525319021057,0.7805993989705797,0.00042478790106186177,14.347632624248806,0.8988279690736825,24,4.370284263812825e-14,0.04989523012622089,False,Auto,Utilities,2018-08-24
BAJAJ-AUTO,HINDALCO,6.6032789512746035,0.23428525829847197,0.0005287057846715151,15.335611745420197,0.9196011284565214,18,3.943935125573175e-14,0.04472151019605148,False,Auto,Metals & Mining,2018-08-24
BAJAJ-AUTO,SHREECEM,2.6886525333167577,0.529976399899624,0.0008616304682330949,15.36362597118412,0.8949444072716356,26,-7.090741867857283e-14,0.05079182425096866,False,Auto,Cement,2018-08-24
HDFC,JSWSTEEL,3.9527737974365325,0.6296356773052443,0.0009505684921005024,16.404028229515944,0.9612943065580621,14,-3.9723662337170154e-14,0.07588114761192323,False,NBFC,Metals & Mining,2018-08-24
ICICIBANK,ADANIPORTS,2.041733169422045,0.609023697518849,0.0009951026762735566,14.42178704352251,0.921886273525544,24,-4.8702958186069695e-14,0.06067828268395217,False,Bank,Infrastructure,2018-08-24
HEROMOTOCO,EICHERMOT,2.597028565239629,0.6938518835285223,0.0010460415984006384,19.564919301540694,0.9319239420142664,23,2.0270675203050213e-14,0.05818823563411781,True,Auto,Auto,2018-08-24
ULTRACEMCO,SHREECEM,0.7807959332316309,0.7705207943638377,2.5308848999697944e-06,7.404278385831199,0.9647723692982322,31,7.968934154531678e-15,0.03663901645671394,True,Cement,Cement,2018-11-29
HDFC,HDFCBANK,1.6231384061848306,0.8519909379713955,6.018604524858204e-05,16.73129822234061,0.9420090880316381,21,3.251954848849136e-14,0.07755561004144644,False,NBFC,Bank,2018-11-29
